time(s),beats,metaphoric,deictic,iconic,gesture
0,1,0,0,0,1
3,0,0,0,0,0
4,1,0,0,0,1
6,1,0,0,0,1
8,1,0,0,0,1
11,0,0,0,0,0
14,1,0,0,0,1
17,1,1,0,0,1
20,1,0,0,0,1
24,1,0,0,0,1
26,1,1,0,0,1
28,1,0,0,0,1
31,1,1,0,0,1
34,0,0,0,0,0
36,1,0,0,0,1
39,1,0,0,0,1
42,1,0,0,0,1
44,1,1,0,0,1
47,1,0,0,0,1
50,1,1,0,0,1
53,1,0,0,0,1
57,1,0,0,0,1
59,1,1,0,0,1
61,1,1,0,0,1
65,1,0,0,0,1
67,1,0,0,0,1
69,1,0,0,0,1
72,1,1,0,0,1
76,1,0,0,0,1
79,1,0,0,0,1
81,1,0,0,0,1
84,1,0,0,0,1
86,1,0,0,0,1
91,1,1,0,0,1
94,1,0,0,0,1
98,1,0,0,0,1
100,1,0,0,0,1
104,1,0,0,0,1
107,0,1,0,0,1
109,1,0,0,0,1
111,1,0,0,0,1
114,0,0,0,0,0
116,0,0,0,0,0
118,1,0,0,0,1
121,0,0,0,0,0
123,1,1,0,0,1
125,1,0,0,0,1
129,1,1,0,0,1
131,1,0,0,0,1
133,1,0,1,0,1
135,1,0,0,0,1
137,1,0,0,0,1
139,1,1,0,0,1
142,1,1,0,0,1
144,0,0,0,0,0
147,1,0,0,0,1
150,1,0,0,0,1
152,1,1,0,0,1
155,1,0,0,0,1
158,1,0,0,0,1
161,1,0,0,0,1
164,0,0,0,0,0
167,0,0,0,0,0
169,1,0,0,0,1
172,1,0,0,0,1
177,1,0,0,0,1
179,1,1,0,0,1
182,0,0,0,0,0
185,1,0,0,0,1
189,1,0,0,0,1
192,1,0,0,0,1
195,0,0,0,0,0
197,1,0,0,0,1
199,1,0,0,0,1
202,1,0,0,0,1
209,1,0,0,0,1
212,1,1,0,0,1
214,0,0,0,0,0
216,1,0,0,0,1
219,1,0,0,0,1
222,1,0,0,0,1
224,1,0,0,0,1
226,1,0,0,0,1
229,1,0,0,0,1
231,0,1,0,0,1
233,1,0,0,0,1
239,1,0,0,0,1
242,1,1,0,0,1
245,1,0,0,0,1
247,1,0,0,0,1
250,0,0,0,0,0
252,1,0,0,0,1
255,1,0,0,0,1
257,1,1,0,0,1
261,1,0,0,0,1
264,1,0,0,0,1
266,1,0,0,0,1
,,,,,84
